"Source Item Name","Teapplix SKU",Memo
"
B0GFY87GJM",NS5336,
"""5003MCC-2""",5003MCC-2,
"""5003MCC-4""",5003MCC-4,
"""5003MDM-4""",5003MDM-4,
"""5003MGM-4""",5003MGM-4,
"""5003MGM-four""",5003MGM-4,
"""5029B""",5029b,
"""5029W""",5029W,
"""5031BG-4""",5031BG-4,
"""5031CC-4""",5031CC-4,
"""5031DM-four""",5031DM-4,
"""5031MCC-four""",5031MCC-4,
"""5031MDM-four""",5031MDM-4,
"""5031RCC-4""",5031RCC-4,
"""5046BR""",5046BR,
"""5048-24MCC-4""",5048-24MCC-4,
"""5048MCC-4""",5048MCC-4,
"""5060MDM-Four""",5060MDM-4,
"""5061CC""",5061cc,
"""5061DM""",5061dm,
"""5061MCC""",5061MCC,
"""5063CC""",5063cc,
"""5065CC""",5065CC,
"""5070G-2""",5070G-2,
"""5071BR""",5071BR,
"""5072BL""",5072BL,
"""5076-2""",5076-2,
"""5090-4""",5090-4,
"""5090DM-4""",5090dm-4,
"""5091-2""",5091-2,
"""5091BM-2""",5091BM-2,
"""5091H-2""",5091H-2,
"""5091M-2""",5091M-2,
"""5092-2""",5092-2,
"""5096-2""",5096-2,
"""5098-2""",5098-2,
"""5107BG-2""",5107BG-2,
"""5107GR-2""",5107GR-2,
"""5111-2""",5111-2,
"""5112B""",5112B,
"""5112G""",5112G,
"""5113-2""",5113-2,
"""5114-2""",5114-2,
"""5115""",5115,
"""5116-2""",5116-2,
"""5120B-12""",5120B-12,
"""5120B-2""",5120B-2,
"""5121B""",5121B,
"""5121W""",5121W,
"""5122-2""",5122-2,
"""5123-2""",5123-2,
"""5124-2""",5124-2,
"""5125-2""",5125-2,
"""5126-2""",5126-2,
"""5127-2""",5127-2,
"""5128-2""",5128-2,
"""5129-2""",5129-2,
"""5131B""",5131B,
"""5133G""",5133G,
"""5134-2""",5134-2,
"""5139""",5139,
"""5150-2""",5150-2,
"""5151""",5151,
"""5155""",5155,
"""5158""",5158,
"""AM5106-2""",5106-2,
"""AM5109-2""",5109-2,
"""AM5110-2""",5110,
A5157,5157,
A5174,5174,
ab2050b,2050B,
ab3000w,3000w,
ACOT4085,2050B,
AM2050B,2050B,
am2050b-1,2050B,
am2050b-1-LA,2050B,
am2050B-11,2050B,
am2050B-11-LA,2050B,
am2050C-11,2050c,
am2050C-11-LA,2050c,
am2050w-1c1-LA,2050w-n,
am2050w-LA,2050w-n,
AM3000C,3000C,
AM3000W,3000w,
am3000w-LA,3000w,
am3000w1,3000w,
am3000wm,3000B,
am3000wm-LA,3000B,
AM5000,5000,
AM5000B,5000B,
AM5000BR,5000BR,
AM5000W,5000W,
AM5001B,5001B,
AM5003-24CC,5003-24CC,
AM5003-24CC-4,5003-24CC-4,
AM5003-24CC-4-LA,5003-24CC-4,
AM5003-24CC-four,5003-24CC-4,
AM5003-24CC-four-LA,5003-24CC-4,
AM5003-24CC-LA,5003-24CC,
AM5003-24DC-4-1,5003-24DC-4,
AM5003-24DC-four,5003-24DC-4,
AM5003-24DC-two,5003-24DC-2,
AM5003-24DDM-4,5003-24DDM-4,
AM5003-24DM,5003-24DM-2,
AM5003-24DM-4,5003-24DM-4,
AM5003-24DM-4-LA,5003-24DM-4,
AM5003-24DM-four,5003-24DM-4,
AM5003-24DM-four-LA,5003-24DM-4,
AM5003-24DM-LA,5003-24DM-2,
AM5003-24GG-4,5003-24GG-4,
AM5003-24GG-FOUR,5003-24GG-4,
AM5003-24MCC,5003-24MCC-2,
AM5003-24MCC-2,5003-24MCC-2,
AM5003-24MCC-2-LA-LA,5003-24MCC-2,
AM5003-24MCC-4,5003-24MCC-4,
AM5003-24MCC-4-LA,5003-24MCC-4,
AM5003-24MCC-four,5003-24MCC-4,
AM5003-24MCC-four-LA,5003-24MCC-4,
AM5003-24MDM-2,5003-24MDM-2,
AM5003-24MDM-2-LA,5003-24MDM-2,
AM5003-24MDM-4,5003-24MDM-4,
AM5003-24MDM-4-LA,5003-24MDM-4,
Am5003-24mdm-4aa,5003-24MDM-4,
Am5003-24mdm-4aa-LA,5003-24MDM-4,
AM5003-24MDM-four,5003-24MDM-4,
AM5003-24MDM-four-LA,5003-24MDM-4,
AM5003-24MGG-4,5003-24MGG-4,
AM5003-24MGG-four,5003-24MGG-4,
AM5003-24MGM,5003-24MGM-2,
AM5003-24MGM-4,5003-24MGM-4,
AM5003-24MGM-4-LA,5003-24MGM-4,
AM5003-24MGM-four,5003-24MGM-4,
AM5003-24MGM-four-LA,5003-24MGM-4,
AM5003-24MGM-LA,5003-24MGM-2,
AM5003AB-4,5003AB-4,
AM5003B,5003B-2,
am5003b1,5003B-4,
AM5003CC-2,5003CC-2,
AM5003CC-4,5003CC-4,
AM5003CC-four,5003CC-4,
AM5003CC-two,5003CC-2,
AM5003DC-two,5003DC-2,
AM5003DDM-four,5003DDM-4,
AM5003DDM-two,5003DDM-2,
AM5003DM-2,5003DM-2,
